date,word,Attempts count
,,
,,
,,

2022-05-02 19:36:43.607842,story,3



2022-05-02 19:57:13.230849,story,3


2022-05-03 07:51:08.134893,hairy,3


2022-05-04 13:41:17.544526,train,4

2022-08-08 18:56:19.184916,unfit,4

2022-08-10 11:22:52.433569,cling,3


2022-08-10 11:27:00.524651,cling,3

2022-08-10 15:05:29.316422,cling,3

2022-08-17 10:37:21.978947,twice,3

2022-09-07 13:06:34.389845,leery,4



2022-09-09 09:59:12.093882,theme,4

2022-09-14 16:16:36.814944,thyme,3



2022-09-15 11:57:44.507254,doubt,3



2022-09-18 12:20:59.320521,stick,5


2022-09-18 14:37:55.397965,stick,5
2022-09-18 14:55:11.771464,stick,5
2022-09-18 15:48:05.654693,stick,5
2022-09-20 10:17:22.595692,alike,5
2022-09-20 10:17:48.800014,alike,3
